epoch,accuracy,loss,val_accuracy,val_loss
0,0.2450881451368332,1.8883875608444214,0.21988636255264282,1.825524091720581
1,0.3240950107574463,1.7011101245880127,0.36306819319725037,1.6595443487167358
2,0.39447787404060364,1.555121660232544,0.4294033944606781,1.4710886478424072
3,0.4389887750148773,1.4443080425262451,0.47727271914482117,1.3534176349639893
4,0.4677469730377197,1.3778108358383179,0.4738636314868927,1.3386300802230835
5,0.48662933707237244,1.3388011455535889,0.5055397748947144,1.2558095455169678
6,0.5005390048027039,1.3062759637832642,0.5058238506317139,1.3048421144485474
7,0.512605607509613,1.2777507305145264,0.5625,1.152491569519043
8,0.5219598412513733,1.2552542686462402,0.49204546213150024,1.3383809328079224
9,0.5302013158798218,1.2366141080856323,0.543749988079071,1.211040735244751
10,0.5398685336112976,1.2104229927062988,0.5856534242630005,1.0882564783096313
11,0.54212886095047,1.2026110887527466,0.5208806991577148,1.1956467628479004
12,0.5514135956764221,1.180902123451233,0.5676136612892151,1.1357101202011108
13,0.5559341907501221,1.1665737628936768,0.5680397748947144,1.1711264848709106
